epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,118.815,0.78056,3.36935,1.12205,0.58304,0.48788,0.44133,0.41041,0.41496,1.68905,0.8653,0.0704,0.00328889,0.00328889
2,238.436,0.45754,1.47311,0.90968,0.63714,0.70972,0.69967,0.66017,0.34993,1.09487,0.83335,0.0402907,0.00651296,0.00651296
3,359.969,0.49939,1.22441,0.91892,0.59063,0.72849,0.70833,0.65551,0.42021,1.36336,0.85523,0.0100715,0.00962702,0.00962702
4,478.971,0.52232,1.10515,0.9239,0.67867,0.83901,0.81253,0.76505,0.34039,0.76554,0.82782,0.009505,0.009505,0.009505
5,601.589,0.50424,0.97269,0.91878,0.63498,0.89355,0.80837,0.74145,0.42178,0.90155,0.86322,0.00934,0.00934,0.00934
6,720.866,0.48538,0.86572,0.90747,0.61939,0.86813,0.81517,0.77152,0.33251,0.85939,0.8234,0.009175,0.009175,0.009175
7,841.884,0.46976,0.82504,0.90776,0.69057,0.92791,0.83643,0.79534,0.33,0.68379,0.8248,0.00901,0.00901,0.00901
8,963.081,0.46101,0.78483,0.90584,0.72184,0.94569,0.85992,0.81146,0.32347,0.60843,0.82497,0.008845,0.008845,0.008845
9,1084.47,0.44461,0.75917,0.90244,0.72125,0.95081,0.87304,0.83079,0.32623,0.64825,0.81992,0.00868,0.00868,0.00868
10,1206.22,0.44129,0.73449,0.89745,0.69904,0.95412,0.85329,0.80684,0.34466,0.60862,0.82171,0.008515,0.008515,0.008515
11,1324.69,0.42448,0.73188,0.89561,0.72288,0.94102,0.86928,0.82733,0.30668,0.60584,0.8103,0.00835,0.00835,0.00835
12,1442.5,0.42638,0.72053,0.89479,0.73845,0.91621,0.88146,0.84608,0.29142,0.57175,0.80289,0.008185,0.008185,0.008185
13,1562.9,0.41093,0.66691,0.88875,0.75235,0.94564,0.86524,0.82451,0.32565,0.57101,0.81929,0.00802,0.00802,0.00802
14,1681.62,0.40032,0.65277,0.88452,0.7109,0.96812,0.88608,0.85615,0.28413,0.57171,0.80377,0.007855,0.007855,0.007855
15,1802.75,0.39153,0.66514,0.88098,0.75247,0.9682,0.8769,0.84395,0.28667,0.5144,0.80668,0.00769,0.00769,0.00769
16,1922.17,0.39202,0.65833,0.88007,0.75238,0.9342,0.88583,0.85597,0.27134,0.55294,0.80112,0.007525,0.007525,0.007525
17,2040.73,0.38409,0.63632,0.88092,0.72281,0.98876,0.87985,0.84476,0.29411,0.52483,0.81123,0.00736,0.00736,0.00736
18,2159.3,0.37044,0.62892,0.87595,0.72828,0.93581,0.86753,0.84551,0.26058,0.54037,0.79724,0.007195,0.007195,0.007195
19,2278.04,0.36326,0.62232,0.86942,0.73096,0.94776,0.8576,0.83275,0.26669,0.56253,0.80391,0.00703,0.00703,0.00703
20,2396.34,0.3597,0.61059,0.86814,0.74687,0.99367,0.86824,0.84966,0.25437,0.49109,0.79354,0.006865,0.006865,0.006865
21,2514.94,0.35416,0.6023,0.86726,0.75112,0.99062,0.86871,0.84664,0.24747,0.4838,0.79374,0.0067,0.0067,0.0067
22,2633.41,0.35033,0.58155,0.8671,0.74682,0.95004,0.86875,0.83204,0.31148,0.52402,0.81239,0.006535,0.006535,0.006535
23,2751.8,0.34863,0.59059,0.86062,0.74687,0.99677,0.88993,0.86856,0.25294,0.48522,0.79562,0.00637,0.00637,0.00637
24,2882.95,0.33822,0.57842,0.85958,0.77462,0.96535,0.86733,0.84574,0.25191,0.47356,0.79556,0.006205,0.006205,0.006205
25,3007.31,0.33491,0.56356,0.86314,0.75074,0.9613,0.88352,0.87161,0.23001,0.485,0.78612,0.00604,0.00604,0.00604
26,3127.48,0.33651,0.57208,0.86198,0.77655,0.98058,0.88371,0.8676,0.23349,0.45873,0.78751,0.005875,0.005875,0.005875
27,3246.14,0.32717,0.57518,0.85978,0.75229,0.97893,0.86913,0.85169,0.23426,0.47665,0.78862,0.00571,0.00571,0.00571
28,3364.08,0.31513,0.54761,0.85459,0.76732,0.97284,0.87289,0.8566,0.2334,0.47497,0.78478,0.005545,0.005545,0.005545
29,3482.26,0.31558,0.54936,0.85015,0.75804,0.97646,0.86726,0.85205,0.22634,0.47758,0.78644,0.00538,0.00538,0.00538
30,3600.62,0.31427,0.55505,0.85764,0.75511,0.99078,0.87407,0.85513,0.24355,0.4696,0.78928,0.005215,0.005215,0.005215
31,3718.86,0.31575,0.55846,0.85562,0.76585,0.98069,0.86587,0.85192,0.22439,0.45767,0.78331,0.00505,0.00505,0.00505
32,3837,0.30113,0.53422,0.85103,0.76099,0.95284,0.87339,0.86017,0.2259,0.47376,0.78337,0.004885,0.004885,0.004885
33,3955.29,0.30021,0.51821,0.847,0.79014,0.95607,0.88035,0.86486,0.22242,0.4494,0.78055,0.00472,0.00472,0.00472
34,4073.28,0.29347,0.5261,0.84733,0.76219,0.9853,0.86999,0.85874,0.21394,0.45363,0.77916,0.004555,0.004555,0.004555
35,4191.64,0.29006,0.51713,0.85024,0.76151,0.98128,0.87673,0.86633,0.21135,0.47668,0.77819,0.00439,0.00439,0.00439
36,4309.79,0.28392,0.52041,0.8458,0.7696,0.98412,0.8731,0.8644,0.20468,0.45143,0.77673,0.004225,0.004225,0.004225
37,4427.84,0.28962,0.50816,0.84881,0.77145,0.98527,0.87676,0.86913,0.20101,0.43987,0.77609,0.00406,0.00406,0.00406
38,4546.04,0.27703,0.49903,0.8427,0.76232,0.97664,0.88708,0.87985,0.20305,0.45731,0.77713,0.003895,0.003895,0.003895
39,4665.21,0.27767,0.50437,0.83994,0.76608,0.97096,0.87249,0.85959,0.20613,0.46229,0.77754,0.00373,0.00373,0.00373
40,4783.43,0.28044,0.50785,0.84402,0.76117,0.98049,0.88132,0.86891,0.21157,0.44675,0.77926,0.003565,0.003565,0.003565
41,4901.51,0.26832,0.4852,0.84267,0.78804,0.96599,0.88855,0.88095,0.20464,0.43618,0.77416,0.0034,0.0034,0.0034
42,5020.38,0.26434,0.48409,0.84022,0.78198,0.98144,0.86571,0.85524,0.20348,0.43363,0.77618,0.003235,0.003235,0.003235
43,5139,0.26287,0.50055,0.83779,0.7758,0.98161,0.87549,0.86652,0.20146,0.43622,0.77515,0.00307,0.00307,0.00307
44,5257.4,0.25766,0.48667,0.83654,0.76059,0.99193,0.87368,0.86713,0.19047,0.44227,0.77064,0.002905,0.002905,0.002905
45,5375.61,0.25421,0.47403,0.83405,0.78189,0.98063,0.88062,0.87477,0.19003,0.43025,0.7731,0.00274,0.00274,0.00274
46,5494.2,0.25251,0.46816,0.83665,0.77175,0.98113,0.87453,0.86868,0.18587,0.44635,0.77062,0.002575,0.002575,0.002575
47,5612.17,0.24875,0.47674,0.8343,0.76195,0.98293,0.87029,0.86343,0.19142,0.43744,0.77138,0.00241,0.00241,0.00241
48,5730.37,0.24977,0.4746,0.83579,0.76795,0.99256,0.86801,0.86049,0.18753,0.43318,0.77116,0.002245,0.002245,0.002245
49,5849.01,0.24144,0.46915,0.83287,0.7715,0.98818,0.86471,0.85961,0.18051,0.42658,0.768,0.00208,0.00208,0.00208
50,5967.19,0.24363,0.46278,0.83672,0.78083,0.97994,0.86703,0.8606,0.18152,0.43275,0.7685,0.001915,0.001915,0.001915
51,6084.51,0.18571,0.4063,0.79991,0.7872,0.98675,0.87235,0.86591,0.18702,0.43283,0.77038,0.00175,0.00175,0.00175
52,6201.59,0.18287,0.40214,0.79273,0.78319,0.97526,0.86437,0.86001,0.18011,0.42672,0.76648,0.001585,0.001585,0.001585
53,6319.42,0.18078,0.3964,0.7947,0.77673,0.96691,0.87288,0.8671,0.1844,0.43476,0.76925,0.00142,0.00142,0.00142
54,6437.32,0.17686,0.39316,0.79054,0.78519,0.97337,0.86808,0.86188,0.17756,0.43982,0.76768,0.001255,0.001255,0.001255
55,6555.43,0.17351,0.38984,0.79239,0.77798,0.98116,0.86489,0.86028,0.17544,0.43242,0.76516,0.00109,0.00109,0.00109
56,6673.14,0.16933,0.38572,0.79352,0.7828,0.98462,0.86583,0.86137,0.17288,0.43451,0.76473,0.000925,0.000925,0.000925
57,6790.8,0.16856,0.37814,0.79232,0.7752,0.98496,0.86921,0.86506,0.16674,0.42369,0.76367,0.00076,0.00076,0.00076
58,6908.14,0.16532,0.37343,0.79422,0.77122,0.99153,0.87121,0.86738,0.16768,0.42181,0.76292,0.000595,0.000595,0.000595
59,7025.65,0.16215,0.37412,0.78897,0.78094,0.9835,0.87196,0.86854,0.16491,0.41624,0.76264,0.00043,0.00043,0.00043
60,7142.55,0.15714,0.36366,0.79085,0.78166,0.98998,0.87077,0.86631,0.16489,0.41402,0.76285,0.000265,0.000265,0.000265
